City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bosobolo,4.1833,19.9,21.65,93,96,0.11,CD,2024-08-08 18:44:59
1,chonchi,-42.6128,-73.8092,7.29,94,100,1.05,CL,2024-08-08 18:44:59
2,port-aux-francais,-49.35,70.2167,2.39,71,60,7.68,TF,2024-08-08 18:44:59
3,fort mcmurray,56.7268,-111.381,25.77,27,0,3.09,CA,2024-08-08 18:42:34
4,olonkinbyen,70.9221,-8.7187,5.02,99,100,3.59,SJ,2024-08-08 18:44:59
5,bethel,41.3712,-73.414,19.64,89,100,3.6,US,2024-08-08 18:45:00
6,zouerate,22.7187,-12.4521,33.07,22,43,7.61,MR,2024-08-08 18:45:00
7,adamstown,-25.066,-130.1015,22.22,82,96,13.47,PN,2024-08-08 18:45:00
8,rufino,-34.2683,-62.7126,2.73,64,0,3.78,AR,2024-08-08 18:45:00
9,avarua,-21.2078,-159.775,23.03,46,20,3.6,CK,2024-08-08 18:45:01
10,vilyuysk,63.7553,121.6247,23.53,40,2,1.4,RU,2024-08-08 18:45:01
11,puerto natales,-51.7236,-72.4875,6.19,83,99,6.41,CL,2024-08-08 18:45:01
12,san antonio de pale,-1.4014,5.6325,22.87,84,100,3.98,GQ,2024-08-08 18:45:01
13,namibe,-15.1961,12.1522,15.99,89,3,2.6,AO,2024-08-08 18:45:02
14,hamilton,39.1834,-84.5333,26.67,75,100,1.34,US,2024-08-08 18:40:04
15,ilulissat,69.2167,-51.1,6.01,93,100,0.0,GL,2024-08-08 18:45:02
16,grytviken,-54.2811,-36.5092,-15.39,76,15,6.24,GS,2024-08-08 18:45:02
17,verkhovazh'ye,60.7472,42.0465,12.98,99,100,1.86,RU,2024-08-08 18:45:03
18,vrangel',42.7297,133.0839,24.38,80,100,3.55,RU,2024-08-08 18:45:03
19,kodiak,57.79,-152.4072,12.73,82,100,2.57,US,2024-08-08 18:45:03
20,arno,60.1167,18.6333,15.99,92,67,3.28,SE,2024-08-08 18:45:04
21,ribeira grande,38.5167,-28.7,22.1,86,1,2.24,PT,2024-08-08 18:45:04
22,maroua,10.591,14.3159,23.94,82,100,3.46,CM,2024-08-08 18:45:04
23,thompson,55.7435,-97.8558,18.09,52,75,3.09,CA,2024-08-08 18:45:04
24,hermanus,-34.4187,19.2345,12.67,76,23,13.25,ZA,2024-08-08 18:45:05
25,hasaki,35.7333,140.8333,32.94,79,4,6.79,JP,2024-08-08 18:45:05
26,st. john's,47.5649,-52.7093,17.66,78,75,5.66,CA,2024-08-08 18:45:05
27,hawaiian paradise park,19.5933,-154.9731,28.26,70,20,3.6,US,2024-08-08 18:45:05
28,port mathurin,-19.6833,63.4167,22.36,74,52,9.58,MU,2024-08-08 18:45:06
29,west island,-12.1568,96.8225,27.99,74,20,8.75,CC,2024-08-08 18:45:06
30,sun city center,27.7181,-82.3518,30.47,85,9,0.45,US,2024-08-08 18:45:06
31,sibolga,1.7427,98.7792,27.67,81,97,0.16,ID,2024-08-08 18:45:06
32,isafjordur,66.0755,-23.124,5.56,93,100,2.84,IS,2024-08-08 18:45:07
33,iqaluit,63.7506,-68.5145,10.85,81,100,3.09,CA,2024-08-08 18:45:07
34,kingston,17.997,-76.7936,29.53,70,20,4.63,JM,2024-08-08 18:45:07
35,klyuchi,52.2667,79.1667,19.15,83,100,2.16,RU,2024-08-08 18:45:07
36,markovo,57.3206,107.0881,21.78,56,91,2.18,RU,2024-08-08 18:45:08
37,jamestown,42.097,-79.2353,23.17,94,100,4.63,US,2024-08-08 18:45:08
38,newman,37.3138,-121.0208,35.99,11,0,2.55,US,2024-08-08 18:45:08
39,punta del este,-34.9667,-54.95,7.71,86,75,4.92,UY,2024-08-08 18:45:09
40,mirpur bhtoro,24.7286,68.2603,28.39,83,100,5.59,PK,2024-08-08 18:45:09
41,alice springs,-23.7,133.8833,22.75,28,0,4.63,AU,2024-08-08 18:45:09
42,pembroke,45.8168,-77.1162,20.99,99,100,3.0,CA,2024-08-08 18:45:10
43,ksar chellala,35.2122,2.3189,27.73,39,5,2.0,DZ,2024-08-08 18:45:10
44,tolanaro,-25.0319,46.9987,20.04,83,20,9.77,MG,2024-08-08 18:45:10
45,llanelli,51.682,-4.1619,16.94,97,100,12.35,GB,2024-08-08 18:45:10
46,punta arenas,-53.15,-70.9167,4.06,93,100,2.57,CL,2024-08-08 18:45:10
47,susuman,62.7833,148.1667,16.49,46,0,0.58,RU,2024-08-08 18:45:11
48,bredasdorp,-34.5322,20.0403,10.58,81,60,10.73,ZA,2024-08-08 18:41:38
49,fale old settlement,-9.3852,-171.2468,28.14,75,99,7.47,TK,2024-08-08 18:45:11
50,edinburgh of the seven seas,-37.0676,-12.3116,14.45,90,100,17.28,SH,2024-08-08 18:45:11
